cow_id,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag14,,,,,,,,,
cow1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow24,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow54,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow56,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow69,5.0,5.0,5.0,0,0,0,0,0,0.0,,,,,,,,,
cow80,3.0,0,3.3,3.4,3.6,3.7,3.9,4.0,4.0,,,,,,,,,
cow155,2.0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,4.0,,,,,,,,,
cow160,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow161,4.0,3.9,3.7,3.6,3.4,3.3,3.1,3.0,4.0,,,,,,,,,
cow171,2.0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,3.0,,,,,,,,,
cow181,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,,,,,,,,,
cow183,0,1.3,0,1.9,2.1,2.4,2.7,3.0,2.0,,,,,,,,,
cow190,3.0,2.9,2.7,2.6,2.4,2.3,2.1,2.0,2.0,,,,,,,,,
cow191,0,2.3,2.6,2.9,3.1,3.4,3.7,4.0,4.0,,,,,,,,,
cow199,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,
cow201,2.0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,2.0,,,,,,,,,
cow202,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow204,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
cow205,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
cow208,3.0,3.1,3.3,3.4,3.6,3.7,3.9,4.0,4.0,,,,,,,,,
cow210,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,3.0,,,,,,,,,
cow212,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,
cow215,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
cow216,0,0,0,0,0,4.0,4.0,4.0,4.0,,,,,,,,,
cow217,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,4.0,,,,,,,,,
cow220,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,,,,,,
cow223,0,0,0,0,0,0,0,0,0,,,,,,,,,
cow224,2.0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,3.0,,,,,,,,,
cow233,0,2.1,2.3,2.4,2.6,2.7,2.9,3.0,0,,,,,,,,,
cow234,3.0,2.9,2.7,2.6,2.4,2.3,0,2.0,1.0,,,,,,,,,
cow237,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
cow239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,
cow240,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.0,,,,,,,,,
cow243,3.0,3.1,3.3,3.4,3.6,3.7,3.9,4.0,4.0,,,,,,,,,
cow248,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,1.0,,,,,,,,,
cow253,1.0,1.3,1.6,1.9,2.1,2.4,2.7,3.0,4.0,,,,,,,,,
cow254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
cow257,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
cow262,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
cow264,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,
cow265,1.0,0,0,0,0,0,0,0,0,,,,,,,,,
cow267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
cow268,1.0,0,0,0,0,0,0,0,0,,,,,,,,,
cow272,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
cow273,1.0,1.1,0,1.4,1.6,1.7,1.9,2.0,1.0,,,,,,,,,
cow274,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,
cow276,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,1.0,,,,,,,,,
cow277,2.0,1.9,1.7,1.,1.4,1.3,1.1,1.0,1,,,,,,,,,
cow278,0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.0,,,,,,,,,
cow280,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.0,,,,,,,,,
cow284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
cow285,2.0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,1.0,,,,,,,,,
cow287,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.0,,,,,,,,,
cow1402,0,0,0,0,0,0,0,0,2.0,,,,,,,,,
cow1403,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
cow1404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,,,,,
cow1406,2.0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,1.0,,,,,,,,,
cow1407,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,
cow1408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
cow1409,2.0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,1.0,,,,,,,,,
cow1412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,
cow1413,0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,1.0,,,,,,,,,
cow1414,0,0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,
cow1416,0,0,0,0,0,0,0,0,2.0,,,,,,,,,2
